state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Jharkhand,2019,8.3,,,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.8,,80000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,7.0,,110000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.6,,75000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.8,,50000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.4,,50000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.4,,110000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,5.8,,130000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.3,,50000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,5.8,,130000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,5.3,,80000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,5.5,,80000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,5.5,,22000.0,RS_Session_255_AU_90.1 (1).csv
West Bengal,2019,6.2,,1300.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.8,,2.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.8,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.4,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,10.1,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,10.0,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,10.0,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,10.6,,1.8,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,10.6,,12.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.0,,50.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.8,,22.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.8,,32.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.2,,60.0,RS_Session_255_AU_90.1 (1).csv
Uttarakhand,2020,9.4,,46.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.8,,,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,9.1,,350.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,9.3,,210.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.5,,780.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.6,,1100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.6,,1100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,10.3,,220.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.8,,1000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.5,,1700.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.2,,2250.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.5,,1800.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.4,,2600.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.2,,2200.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.0,,3300.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.6,,8100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.4,,22000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.5,,17000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,9.3,,1400.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,9.7,,1300.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.4,,1100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.5,,1300.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.9,,1100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.7,,1300.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.5,,1200.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.5,,11000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.2,,6000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.7,,1100.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,7.4,,13000.0,RS_Session_255_AU_90.1 (1).csv
Uttar Pradesh,2020,8.4,,8000.0,RS_Session_255_AU_90.1 (1).csv
